path,size_bytes,sha256,kind,source,purpose,license_status,candidate_policy
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_01a_sprout.png,3250,dfc9faa9630ddee8bbdd843d2ffbf6f39ccc7b96ad0e24a2a9bd7cde88987a64,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_01b_growing.png,4057,4428dfcec7dfd231b3c715f80d695006ffb4aec1e62d73f1a40c862c61e10fcf,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_02_readable.png,4441,56e5f9edbfe5f24fe13f15fe44b414f9a54e7509624291b4b11000615859b9cd,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_02a_expand.png,4732,3e15ad175fc7d18d261436efa21f8415a094bf5210f3d62dc21147393a8c0341,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_03_fade_max.png,4906,33cf52eae3a3721a7ed13b36aeeb50778d742148b588dae33a95c4b3eaeb6b11,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_03a_dissolve.png,4904,7a9654ff76edf131e9786d2d98ccd407c1283855929df435d84a73eae006e1f7,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/expressions/concepts/icebox/icebox_state_idle_preview_3x.png,10431,551346b841fcefb4f9501c8743d0035fde385fbb8bfbbebde2099a0ee2b45a5e,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/spiffs/merit_tap.wav,9004,081932a50a3bc293a14543544d969ace8c78a68d8911bfdd75c0a7f6a9fe1d59,wav,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/mp3_demo/main/mp3_noto_sans_sc_16.bin,1555724,63d06dc31e0385447b74bb445c97d2426affc42c79ceefe070f9d87e6b496400,bin,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/salary_calculator_demo/main/money_background.rgb565,153600,13f13edf04c19fa526c4d3762f4f2a5ad13a356ca8f144f9b4a43b92914cd878,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/salary_calculator_demo/money_background.png,170320,cfcbb8cd2d9aa6f906098d64707499aacbfd38c9d48cce6dcbcf91b2d6aacae2,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/salary_calculator_demo/money_background_320x240.png,110934,04357156a23c9b87b9eaf80d604efdea3c81b5a9df06030746d2b35966c5cfb1,png,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/salary_calculator_demo/spiffs/coin_burst.wav,32772,095a2b02ece692896fa3692e16cb4e87db9f6572685f65482e87bff5dbd74dfb,wav,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/tf_firmware_launcher_demo/assets/boot_animation.gif,1280508,5d51ab29ccb8c3d15c43527d66a56bba1eb06249120ed2cd1feca7e77b21f49f,gif,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/tf_firmware_launcher_demo/assets/boot_sound.wav,162060,ac9ca516f844355cf52e092114b4b5b51bac9e42f58729f64d180f23330d0ede,wav,pending-review,inspect owning Example/component,pending,hold-until-s8
